2026-08-10 17:12:23,358 | INFO | 127.0.0.1 | POST /games | 200 | 16.36 ms
2026-08-10 17:12:24,748 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 15.20 ms
2026-08-10 17:12:24,796 | INFO | 127.0.0.1 | GET /match-history | 200 | 60.54 ms
2026-08-10 17:12:29,783 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 13.07 ms
2026-08-10 17:12:29,802 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 12.69 ms
2026-08-10 17:12:29,846 | INFO | 127.0.0.1 | GET /match-history | 200 | 74.36 ms
2026-08-10 17:12:29,909 | INFO | 127.0.0.1 | GET /match-history | 200 | 55.57 ms
2026-08-10 17:24:46,229 | INFO | 127.0.0.1 | OPTIONS /players | 200 | 0.84 ms
2026-08-10 17:24:46,258 | INFO | 127.0.0.1 | POST /players | 200 | 25.55 ms
2026-08-10 17:24:46,280 | INFO | 127.0.0.1 | POST /players | 200 | 15.52 ms
2026-08-10 17:24:46,309 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 13.31 ms
2026-08-10 17:24:46,333 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 17.42 ms
2026-08-10 17:24:46,365 | INFO | 127.0.0.1 | GET /match-history | 200 | 66.74 ms
2026-08-10 17:24:46,416 | INFO | 127.0.0.1 | GET /match-history | 200 | 46.88 ms
2026-08-10 17:24:52,134 | INFO | 127.0.0.1 | OPTIONS /games | 200 | 0.72 ms
2026-08-10 17:24:52,157 | INFO | 127.0.0.1 | POST /games | 200 | 19.16 ms
2026-08-10 17:24:53,690 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 12.38 ms
2026-08-10 17:24:53,743 | INFO | 127.0.0.1 | GET /match-history | 200 | 64.58 ms
2026-08-10 17:24:58,825 | INFO | 127.0.0.1 | POST /games | 200 | 13.54 ms
2026-08-10 17:25:00,176 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 17.00 ms
2026-08-10 17:25:00,237 | INFO | 127.0.0.1 | GET /match-history | 200 | 74.61 ms
2026-08-10 17:25:05,382 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 16.30 ms
2026-08-10 17:25:05,397 | INFO | 127.0.0.1 | GET /leaderboard | 200 | 11.16 ms
2026-08-10 17:25:05,439 | INFO | 127.0.0.1 | GET /match-history | 200 | 71.30 ms
2026-08-10 17:25:05,524 | INFO | 127.0.0.1 | GET /match-history | 200 | 75.79 ms
